Iteration 0 | Training Accuracy 0.1000 | Time: 1558007063.4509375
Iteration 62 | Training Accuracy 0.1200 | Time: 1558007253.4590168
Iteration 63 | Training Accuracy 0.1200 | Time: 1558007254.4647338
Iteration 64 | Training Accuracy 0.1133 | Time: 1558007255.6650336
Iteration 65 | Training Accuracy 0.1400 | Time: 1558007257.2077208
Iteration 66 | Training Accuracy 0.1400 | Time: 1558007258.565415
Iteration 67 | Training Accuracy 0.1000 | Time: 1558007259.8375106
Iteration 68 | Training Accuracy 0.0667 | Time: 1558007261.0328987
Iteration 69 | Training Accuracy 0.1533 | Time: 1558007262.15913
Iteration 70 | Training Accuracy 0.1067 | Time: 1558007263.5309744
Iteration 71 | Training Accuracy 0.0733 | Time: 1558007264.7624128
Iteration 72 | Training Accuracy 0.1267 | Time: 1558007265.8796892
Iteration 73 | Training Accuracy 0.1133 | Time: 1558007267.3692966
Iteration 74 | Training Accuracy 0.0800 | Time: 1558007268.4892638
Iteration 75 | Training Accuracy 0.0933 | Time: 1558007269.652728
Iteration 76 | Training Accuracy 0.0667 | Time: 1558007270.7607298
Iteration 77 | Training Accuracy 0.0867 | Time: 1558007271.947805
Iteration 78 | Training Accuracy 0.1467 | Time: 1558007273.1742651
Iteration 79 | Training Accuracy 0.1533 | Time: 1558007274.467353
Iteration 80 | Training Accuracy 0.1533 | Time: 1558007275.7122862
Iteration 81 | Training Accuracy 0.1067 | Time: 1558007276.9789746
Iteration 82 | Training Accuracy 0.1200 | Time: 1558007278.1023128
Iteration 83 | Training Accuracy 0.1933 | Time: 1558007279.34511
Iteration 84 | Training Accuracy 0.1400 | Time: 1558007280.5142226
Iteration 85 | Training Accuracy 0.1067 | Time: 1558007281.5907776
Iteration 86 | Training Accuracy 0.1133 | Time: 1558007282.8031437
Iteration 87 | Training Accuracy 0.1733 | Time: 1558007283.926265
Iteration 88 | Training Accuracy 0.1267 | Time: 1558007285.229453
Iteration 89 | Training Accuracy 0.0600 | Time: 1558007286.419314
Iteration 90 | Training Accuracy 0.1600 | Time: 1558007287.8025131
Iteration 91 | Training Accuracy 0.1333 | Time: 1558007289.1065316
Iteration 92 | Training Accuracy 0.1133 | Time: 1558007290.2519202
Iteration 93 | Training Accuracy 0.0867 | Time: 1558007291.5087357
Iteration 94 | Training Accuracy 0.1600 | Time: 1558007292.7514043
Iteration 95 | Training Accuracy 0.1400 | Time: 1558007294.077614
Iteration 96 | Training Accuracy 0.1600 | Time: 1558007295.2097373
Iteration 97 | Training Accuracy 0.1600 | Time: 1558007296.493866
Iteration 98 | Training Accuracy 0.1400 | Time: 1558007297.788866
Iteration 99 | Training Accuracy 0.0867 | Time: 1558007298.9247792
Iteration 100 | Training Accuracy 0.0933 | Time: 1558007300.4604692
Iteration 101 | Training Accuracy 0.0867 | Time: 1558007301.691131
Iteration 102 | Training Accuracy 0.1467 | Time: 1558007302.8513908
Iteration 103 | Training Accuracy 0.1400 | Time: 1558007304.2034166
Iteration 104 | Training Accuracy 0.1533 | Time: 1558007305.3837752
Iteration 105 | Training Accuracy 0.1133 | Time: 1558007306.592865
Iteration 106 | Training Accuracy 0.1667 | Time: 1558007307.6824691
Iteration 107 | Training Accuracy 0.1600 | Time: 1558007308.988848
Iteration 108 | Training Accuracy 0.1200 | Time: 1558007310.1743884
Iteration 109 | Training Accuracy 0.1733 | Time: 1558007311.4015908
Iteration 110 | Training Accuracy 0.2000 | Time: 1558007312.506086
Iteration 111 | Training Accuracy 0.1200 | Time: 1558007313.605755
Iteration 112 | Training Accuracy 0.1667 | Time: 1558007314.7999923
Iteration 113 | Training Accuracy 0.1133 | Time: 1558007316.4430454
Iteration 114 | Training Accuracy 0.1200 | Time: 1558007318.315948
Iteration 115 | Training Accuracy 0.1933 | Time: 1558007320.001289
Iteration 116 | Training Accuracy 0.1933 | Time: 1558007321.5044746
Iteration 117 | Training Accuracy 0.2267 | Time: 1558007322.9489985
Iteration 118 | Training Accuracy 0.1000 | Time: 1558007324.0920615
Iteration 119 | Training Accuracy 0.1800 | Time: 1558007325.0919328
Iteration 120 | Training Accuracy 0.2000 | Time: 1558007326.0107381
Iteration 121 | Training Accuracy 0.1667 | Time: 1558007326.981692
Iteration 122 | Training Accuracy 0.1267 | Time: 1558007327.9326093
Iteration 123 | Training Accuracy 0.1467 | Time: 1558007328.92858
Iteration 124 | Training Accuracy 0.2000 | Time: 1558007330.13456
Iteration 125 | Training Accuracy 0.1400 | Time: 1558007331.350124
Iteration 126 | Training Accuracy 0.1467 | Time: 1558007332.5973454
Iteration 127 | Training Accuracy 0.2000 | Time: 1558007333.7147071
Iteration 128 | Training Accuracy 0.1933 | Time: 1558007334.8362882
Iteration 129 | Training Accuracy 0.1400 | Time: 1558007336.0752227
Iteration 130 | Training Accuracy 0.0667 | Time: 1558007337.3559968
Iteration 131 | Training Accuracy 0.1200 | Time: 1558007338.5870497
Iteration 132 | Training Accuracy 0.1533 | Time: 1558007339.7276206
Iteration 133 | Training Accuracy 0.1533 | Time: 1558007340.7849298
Iteration 134 | Training Accuracy 0.1733 | Time: 1558007342.026955
Iteration 135 | Training Accuracy 0.1067 | Time: 1558007343.2299395
Iteration 136 | Training Accuracy 0.1667 | Time: 1558007344.4293191
Iteration 137 | Training Accuracy 0.1467 | Time: 1558007345.4915128
Iteration 138 | Training Accuracy 0.1733 | Time: 1558007346.6561058
Iteration 139 | Training Accuracy 0.1800 | Time: 1558007347.854721
Iteration 140 | Training Accuracy 0.1267 | Time: 1558007349.053062
Iteration 141 | Training Accuracy 0.1333 | Time: 1558007350.295862
Iteration 142 | Training Accuracy 0.0667 | Time: 1558007351.5109265
Iteration 143 | Training Accuracy 0.1733 | Time: 1558007352.83097
Iteration 144 | Training Accuracy 0.1200 | Time: 1558007353.913668
Iteration 145 | Training Accuracy 0.1933 | Time: 1558007355.3118625
Iteration 146 | Training Accuracy 0.2067 | Time: 1558007356.5801501
Iteration 147 | Training Accuracy 0.1733 | Time: 1558007357.7584262
Iteration 148 | Training Accuracy 0.1667 | Time: 1558007359.0393727
Iteration 149 | Training Accuracy 0.1400 | Time: 1558007360.3031685
Iteration 150 | Training Accuracy 0.2200 | Time: 1558007361.4758282
Iteration 151 | Training Accuracy 0.2400 | Time: 1558007362.6686137
Iteration 152 | Training Accuracy 0.1400 | Time: 1558007363.8239553
Iteration 153 | Training Accuracy 0.1867 | Time: 1558007365.0789769
Iteration 154 | Training Accuracy 0.1933 | Time: 1558007366.2507246
Iteration 155 | Training Accuracy 0.1067 | Time: 1558007367.4120672
Iteration 156 | Training Accuracy 0.2133 | Time: 1558007368.6433964
Iteration 157 | Training Accuracy 0.0800 | Time: 1558007369.8694508
Iteration 158 | Training Accuracy 0.2200 | Time: 1558007371.031773
Iteration 159 | Training Accuracy 0.2067 | Time: 1558007372.2772274
Iteration 160 | Training Accuracy 0.2133 | Time: 1558007373.407513
Iteration 161 | Training Accuracy 0.1200 | Time: 1558007374.5107667
Iteration 162 | Training Accuracy 0.1333 | Time: 1558007375.8450491
Iteration 163 | Training Accuracy 0.1400 | Time: 1558007376.942976
Iteration 164 | Training Accuracy 0.2200 | Time: 1558007378.1422498
Iteration 165 | Training Accuracy 0.1733 | Time: 1558007379.3980865
Iteration 166 | Training Accuracy 0.1333 | Time: 1558007380.6967676
Iteration 167 | Training Accuracy 0.0867 | Time: 1558007381.894453
Iteration 168 | Training Accuracy 0.1267 | Time: 1558007383.1901515
Iteration 169 | Training Accuracy 0.1000 | Time: 1558007384.4806318
Iteration 170 | Training Accuracy 0.1933 | Time: 1558007385.728186
Iteration 171 | Training Accuracy 0.2733 | Time: 1558007386.9510798
Iteration 172 | Training Accuracy 0.1333 | Time: 1558007388.3835227
Iteration 173 | Training Accuracy 0.0667 | Time: 1558007389.7173421
Iteration 174 | Training Accuracy 0.1667 | Time: 1558007391.0051057
Iteration 175 | Training Accuracy 0.1267 | Time: 1558007392.341879
Iteration 176 | Training Accuracy 0.1800 | Time: 1558007393.550029
Iteration 177 | Training Accuracy 0.1400 | Time: 1558007394.6628065
Iteration 178 | Training Accuracy 0.1733 | Time: 1558007395.8761203
Iteration 179 | Training Accuracy 0.1733 | Time: 1558007397.1391783
Iteration 180 | Training Accuracy 0.1667 | Time: 1558007398.310023
Iteration 181 | Training Accuracy 0.0867 | Time: 1558007399.6007617
Iteration 182 | Training Accuracy 0.1933 | Time: 1558007401.0548067
Iteration 183 | Training Accuracy 0.1333 | Time: 1558007402.185348
Iteration 184 | Training Accuracy 0.1200 | Time: 1558007403.4110818
Iteration 185 | Training Accuracy 0.1733 | Time: 1558007404.7830706
Iteration 186 | Training Accuracy 0.1267 | Time: 1558007406.0881722
Iteration 187 | Training Accuracy 0.1400 | Time: 1558007407.236964
Iteration 188 | Training Accuracy 0.1533 | Time: 1558007408.420477
Iteration 189 | Training Accuracy 0.1533 | Time: 1558007409.5399847
Iteration 190 | Training Accuracy 0.2333 | Time: 1558007410.7206173
Iteration 191 | Training Accuracy 0.1733 | Time: 1558007411.913736
Iteration 192 | Training Accuracy 0.1467 | Time: 1558007412.9559574
Iteration 193 | Training Accuracy 0.1667 | Time: 1558007414.266868
Iteration 194 | Training Accuracy 0.2000 | Time: 1558007415.538945
Iteration 195 | Training Accuracy 0.1000 | Time: 1558007416.7858088
Iteration 196 | Training Accuracy 0.1867 | Time: 1558007418.0215964
Iteration 197 | Training Accuracy 0.1200 | Time: 1558007419.2677083
Iteration 198 | Training Accuracy 0.1533 | Time: 1558007420.4538186
Iteration 199 | Training Accuracy 0.1800 | Time: 1558007421.6136968
Iteration 200 | Training Accuracy 0.2000 | Time: 1558007422.7368104
Iteration 201 | Training Accuracy 0.1267 | Time: 1558007423.9370222
Iteration 202 | Training Accuracy 0.1533 | Time: 1558007425.251789
Iteration 203 | Training Accuracy 0.2133 | Time: 1558007426.558894
Iteration 204 | Training Accuracy 0.2067 | Time: 1558007427.8445196
Iteration 205 | Training Accuracy 0.1733 | Time: 1558007429.080764
Iteration 206 | Training Accuracy 0.1133 | Time: 1558007430.3859653
Iteration 207 | Training Accuracy 0.1467 | Time: 1558007431.734235
Iteration 208 | Training Accuracy 0.1467 | Time: 1558007432.8368149
Iteration 209 | Training Accuracy 0.1667 | Time: 1558007434.100567
Iteration 210 | Training Accuracy 0.0867 | Time: 1558007435.3339167
Iteration 211 | Training Accuracy 0.1200 | Time: 1558007436.4582326
Iteration 212 | Training Accuracy 0.1200 | Time: 1558007437.6626747
Iteration 213 | Training Accuracy 0.0933 | Time: 1558007438.909811
Iteration 214 | Training Accuracy 0.2067 | Time: 1558007440.2792892
Iteration 215 | Training Accuracy 0.1400 | Time: 1558007441.6148593
Iteration 216 | Training Accuracy 0.0933 | Time: 1558007442.881579
Iteration 217 | Training Accuracy 0.1600 | Time: 1558007443.9473746
Iteration 218 | Training Accuracy 0.1733 | Time: 1558007445.0517917
Iteration 219 | Training Accuracy 0.1000 | Time: 1558007446.2191257
Iteration 220 | Training Accuracy 0.1800 | Time: 1558007447.2551324
Iteration 221 | Training Accuracy 0.1467 | Time: 1558007448.6397219
Iteration 222 | Training Accuracy 0.1267 | Time: 1558007449.9769006
Iteration 223 | Training Accuracy 0.1067 | Time: 1558007451.1459668
Iteration 224 | Training Accuracy 0.1733 | Time: 1558007452.336196
Iteration 225 | Training Accuracy 0.0933 | Time: 1558007453.5140793
Iteration 226 | Training Accuracy 0.1467 | Time: 1558007454.730908
Iteration 227 | Training Accuracy 0.1200 | Time: 1558007455.955721
Iteration 228 | Training Accuracy 0.1200 | Time: 1558007457.2434263
Iteration 229 | Training Accuracy 0.1267 | Time: 1558007458.749356
Iteration 230 | Training Accuracy 0.1267 | Time: 1558007459.9292717
Iteration 231 | Training Accuracy 0.1667 | Time: 1558007461.149745
Iteration 232 | Training Accuracy 0.1467 | Time: 1558007462.4850514
Iteration 233 | Training Accuracy 0.1467 | Time: 1558007463.6810286
Iteration 234 | Training Accuracy 0.1600 | Time: 1558007464.9998221
Iteration 235 | Training Accuracy 0.0933 | Time: 1558007466.3135886
Iteration 236 | Training Accuracy 0.1667 | Time: 1558007467.6965008
Iteration 237 | Training Accuracy 0.1067 | Time: 1558007469.0286436
Iteration 238 | Training Accuracy 0.1067 | Time: 1558007470.4086032
Iteration 239 | Training Accuracy 0.1000 | Time: 1558007471.5784297
Iteration 240 | Training Accuracy 0.1400 | Time: 1558007472.8865595
Iteration 241 | Training Accuracy 0.1267 | Time: 1558007474.2764974
Iteration 242 | Training Accuracy 0.1600 | Time: 1558007475.5305028
Iteration 243 | Training Accuracy 0.1733 | Time: 1558007476.8417296
Iteration 244 | Training Accuracy 0.1200 | Time: 1558007477.9499893
Iteration 245 | Training Accuracy 0.1733 | Time: 1558007479.031268
Iteration 246 | Training Accuracy 0.1600 | Time: 1558007480.1465306
Iteration 247 | Training Accuracy 0.1467 | Time: 1558007481.4858057
Iteration 248 | Training Accuracy 0.0933 | Time: 1558007483.0089989
Iteration 249 | Training Accuracy 0.1067 | Time: 1558007484.2478209
Iteration 250 | Training Accuracy 0.1400 | Time: 1558007485.3682718
Iteration 251 | Training Accuracy 0.1667 | Time: 1558007486.515209
Iteration 252 | Training Accuracy 0.1533 | Time: 1558007487.675183
Iteration 253 | Training Accuracy 0.1533 | Time: 1558007488.7538598
Iteration 254 | Training Accuracy 0.1600 | Time: 1558007489.8921294
Iteration 255 | Training Accuracy 0.1467 | Time: 1558007491.1965086
Iteration 256 | Training Accuracy 0.1600 | Time: 1558007492.409686
Iteration 257 | Training Accuracy 0.1067 | Time: 1558007493.7053041
Iteration 258 | Training Accuracy 0.1667 | Time: 1558007494.9223137
Iteration 259 | Training Accuracy 0.1533 | Time: 1558007496.0670369
Iteration 260 | Training Accuracy 0.2000 | Time: 1558007497.1232333
Iteration 261 | Training Accuracy 0.1200 | Time: 1558007498.378378
Iteration 262 | Training Accuracy 0.1933 | Time: 1558007499.5372021
Iteration 263 | Training Accuracy 0.1400 | Time: 1558007500.8519845
Iteration 264 | Training Accuracy 0.1400 | Time: 1558007502.01543
Iteration 265 | Training Accuracy 0.1467 | Time: 1558007503.3633761
Iteration 266 | Training Accuracy 0.1467 | Time: 1558007504.502821
Iteration 267 | Training Accuracy 0.1867 | Time: 1558007505.7819867
Iteration 268 | Training Accuracy 0.1333 | Time: 1558007507.1075134
Iteration 269 | Training Accuracy 0.2133 | Time: 1558007508.4738238
Iteration 270 | Training Accuracy 0.1400 | Time: 1558007509.903623
Iteration 271 | Training Accuracy 0.2067 | Time: 1558007511.0923011
Iteration 272 | Training Accuracy 0.1600 | Time: 1558007512.2392828
Iteration 273 | Training Accuracy 0.2000 | Time: 1558007513.2530043
Iteration 274 | Training Accuracy 0.1400 | Time: 1558007514.477888
Iteration 275 | Training Accuracy 0.1733 | Time: 1558007515.6360195
Iteration 276 | Training Accuracy 0.1667 | Time: 1558007516.8233254
Iteration 277 | Training Accuracy 0.1600 | Time: 1558007518.1719017
Iteration 278 | Training Accuracy 0.1467 | Time: 1558007519.5199387
Iteration 279 | Training Accuracy 0.1467 | Time: 1558007520.8468072
Iteration 280 | Training Accuracy 0.1667 | Time: 1558007521.9758716
Iteration 281 | Training Accuracy 0.1333 | Time: 1558007523.2195005
Iteration 282 | Training Accuracy 0.1333 | Time: 1558007524.4518766
Iteration 283 | Training Accuracy 0.2133 | Time: 1558007525.7155712
Iteration 284 | Training Accuracy 0.0867 | Time: 1558007526.8524854
Iteration 285 | Training Accuracy 0.1267 | Time: 1558007528.1369753
Iteration 286 | Training Accuracy 0.1733 | Time: 1558007529.4328313
Iteration 287 | Training Accuracy 0.1400 | Time: 1558007530.5757248
Iteration 288 | Training Accuracy 0.1800 | Time: 1558007531.6218061
Iteration 289 | Training Accuracy 0.1467 | Time: 1558007532.829502
Iteration 290 | Training Accuracy 0.1133 | Time: 1558007534.0730093
Iteration 291 | Training Accuracy 0.1133 | Time: 1558007535.615709
Iteration 292 | Training Accuracy 0.2067 | Time: 1558007537.1709452
Iteration 293 | Training Accuracy 0.2133 | Time: 1558007538.6039565
Iteration 294 | Training Accuracy 0.1133 | Time: 1558007539.8168385
Iteration 295 | Training Accuracy 0.1533 | Time: 1558007541.1081142
Iteration 296 | Training Accuracy 0.1267 | Time: 1558007542.3150306
Iteration 297 | Training Accuracy 0.1333 | Time: 1558007543.4898367
Iteration 298 | Training Accuracy 0.1600 | Time: 1558007544.5977314
Iteration 299 | Training Accuracy 0.1533 | Time: 1558007545.8658972
Iteration 300 | Training Accuracy 0.1733 | Time: 1558007547.016601
Iteration 301 | Training Accuracy 0.1267 | Time: 1558007548.2347422
Iteration 302 | Training Accuracy 0.1200 | Time: 1558007549.6170444
Iteration 303 | Training Accuracy 0.1733 | Time: 1558007550.8516188
Iteration 304 | Training Accuracy 0.1333 | Time: 1558007552.0340466
Iteration 305 | Training Accuracy 0.1333 | Time: 1558007553.2921736
Iteration 306 | Training Accuracy 0.0733 | Time: 1558007554.4634
Iteration 307 | Training Accuracy 0.0867 | Time: 1558007555.842702
Iteration 308 | Training Accuracy 0.1267 | Time: 1558007557.0493171
Iteration 309 | Training Accuracy 0.1333 | Time: 1558007558.134288
Iteration 310 | Training Accuracy 0.1667 | Time: 1558007559.267746
Iteration 311 | Training Accuracy 0.1667 | Time: 1558007560.542596
Iteration 312 | Training Accuracy 0.1200 | Time: 1558007561.9971497
Iteration 313 | Training Accuracy 0.1067 | Time: 1558007563.2451875
Iteration 314 | Training Accuracy 0.0933 | Time: 1558007564.5412357
Iteration 315 | Training Accuracy 0.1333 | Time: 1558007565.7127995
Iteration 316 | Training Accuracy 0.1733 | Time: 1558007567.0265715
Iteration 317 | Training Accuracy 0.0867 | Time: 1558007568.3226
Iteration 318 | Training Accuracy 0.1267 | Time: 1558007569.5531745
Iteration 319 | Training Accuracy 0.1000 | Time: 1558007570.8281064
Iteration 320 | Training Accuracy 0.1267 | Time: 1558007571.9382591
Iteration 321 | Training Accuracy 0.1667 | Time: 1558007573.1333492
Iteration 322 | Training Accuracy 0.1333 | Time: 1558007574.4731236
Iteration 323 | Training Accuracy 0.1200 | Time: 1558007575.775998
Iteration 324 | Training Accuracy 0.1733 | Time: 1558007576.9999905
Iteration 325 | Training Accuracy 0.1067 | Time: 1558007578.261579
Iteration 326 | Training Accuracy 0.1400 | Time: 1558007579.4264767
Iteration 327 | Training Accuracy 0.1267 | Time: 1558007580.736564
Iteration 328 | Training Accuracy 0.0933 | Time: 1558007581.9957936
Iteration 329 | Training Accuracy 0.1733 | Time: 1558007583.1144383
Iteration 330 | Training Accuracy 0.1400 | Time: 1558007584.3058162
Iteration 331 | Training Accuracy 0.1467 | Time: 1558007585.5816753
Iteration 332 | Training Accuracy 0.1333 | Time: 1558007586.7366364
Iteration 333 | Training Accuracy 0.1733 | Time: 1558007587.8159227
Iteration 334 | Training Accuracy 0.1333 | Time: 1558007588.8962097
Iteration 335 | Training Accuracy 0.1867 | Time: 1558007590.110744
Iteration 336 | Training Accuracy 0.1533 | Time: 1558007591.2556167
Iteration 337 | Training Accuracy 0.1600 | Time: 1558007592.4656875
Iteration 338 | Training Accuracy 0.1133 | Time: 1558007593.7234163
Iteration 339 | Training Accuracy 0.1200 | Time: 1558007595.0010355
Iteration 340 | Training Accuracy 0.0933 | Time: 1558007596.1830223
Iteration 341 | Training Accuracy 0.1267 | Time: 1558007597.2900934
Iteration 342 | Training Accuracy 0.1133 | Time: 1558007598.5692399
Iteration 343 | Training Accuracy 0.1133 | Time: 1558007599.738399
Iteration 344 | Training Accuracy 0.1200 | Time: 1558007600.8868208
Iteration 345 | Training Accuracy 0.1200 | Time: 1558007602.1483958
Iteration 346 | Training Accuracy 0.1200 | Time: 1558007603.3404343
Iteration 347 | Training Accuracy 0.1400 | Time: 1558007604.6385999
Iteration 348 | Training Accuracy 0.1400 | Time: 1558007605.8244915
Iteration 349 | Training Accuracy 0.1267 | Time: 1558007607.122512
Iteration 350 | Training Accuracy 0.1600 | Time: 1558007608.474829
Iteration 351 | Training Accuracy 0.1067 | Time: 1558007609.7272625
Iteration 352 | Training Accuracy 0.1667 | Time: 1558007611.06507
Iteration 353 | Training Accuracy 0.1133 | Time: 1558007612.4533458
Iteration 354 | Training Accuracy 0.1467 | Time: 1558007613.86677
Iteration 355 | Training Accuracy 0.1333 | Time: 1558007615.1448708
Iteration 356 | Training Accuracy 0.1467 | Time: 1558007616.4831765
Iteration 357 | Training Accuracy 0.1267 | Time: 1558007617.7399142
Iteration 358 | Training Accuracy 0.1200 | Time: 1558007619.00399
Iteration 359 | Training Accuracy 0.1533 | Time: 1558007620.3337111
Iteration 360 | Training Accuracy 0.1533 | Time: 1558007621.8466551
Iteration 361 | Training Accuracy 0.1067 | Time: 1558007623.0065525
Iteration 362 | Training Accuracy 0.1333 | Time: 1558007624.152137
Iteration 363 | Training Accuracy 0.1333 | Time: 1558007625.3691633
Iteration 364 | Training Accuracy 0.1133 | Time: 1558007626.5939934
Iteration 365 | Training Accuracy 0.0933 | Time: 1558007627.7973256
Iteration 366 | Training Accuracy 0.1733 | Time: 1558007628.9308088
Iteration 367 | Training Accuracy 0.1067 | Time: 1558007630.1430702
Iteration 368 | Training Accuracy 0.0733 | Time: 1558007631.1837027
Iteration 369 | Training Accuracy 0.1400 | Time: 1558007632.2691212
Iteration 370 | Training Accuracy 0.1533 | Time: 1558007633.4798696
Iteration 371 | Training Accuracy 0.1067 | Time: 1558007634.6603377
Iteration 372 | Training Accuracy 0.1067 | Time: 1558007635.753838
Iteration 373 | Training Accuracy 0.1000 | Time: 1558007636.8269045
Iteration 374 | Training Accuracy 0.1000 | Time: 1558007637.8991103
Iteration 375 | Training Accuracy 0.0667 | Time: 1558007639.216074
Iteration 376 | Training Accuracy 0.1067 | Time: 1558007640.4489381
Iteration 377 | Training Accuracy 0.1667 | Time: 1558007641.7092252
Iteration 378 | Training Accuracy 0.1133 | Time: 1558007642.9730422
Iteration 379 | Training Accuracy 0.0933 | Time: 1558007644.3148112
Iteration 380 | Training Accuracy 0.1000 | Time: 1558007645.6544168
Iteration 381 | Training Accuracy 0.1067 | Time: 1558007646.8324673
Iteration 382 | Training Accuracy 0.1067 | Time: 1558007648.0092113
Iteration 383 | Training Accuracy 0.1333 | Time: 1558007649.2220776
Iteration 384 | Training Accuracy 0.1800 | Time: 1558007650.676207
Iteration 385 | Training Accuracy 0.1133 | Time: 1558007651.8348427
Iteration 386 | Training Accuracy 0.1067 | Time: 1558007653.1318889
Iteration 387 | Training Accuracy 0.1200 | Time: 1558007654.3065825
Iteration 388 | Training Accuracy 0.1133 | Time: 1558007655.5350509
Iteration 389 | Training Accuracy 0.1200 | Time: 1558007656.6586316
Iteration 390 | Training Accuracy 0.1133 | Time: 1558007657.856766
Iteration 391 | Training Accuracy 0.1333 | Time: 1558007659.0805383
Iteration 392 | Training Accuracy 0.1200 | Time: 1558007660.3105392
Iteration 393 | Training Accuracy 0.1600 | Time: 1558007661.678781
Iteration 394 | Training Accuracy 0.1200 | Time: 1558007662.9349124
Iteration 395 | Training Accuracy 0.1000 | Time: 1558007664.1390615
Iteration 396 | Training Accuracy 0.1267 | Time: 1558007665.3713503
Iteration 397 | Training Accuracy 0.1133 | Time: 1558007666.6335614
Iteration 398 | Training Accuracy 0.1333 | Time: 1558007667.8519938
