Iteration 0 | Training Accuracy 0.1067 | Time: 1557835173.4353762
Iteration 53 | Training Accuracy 0.1400 | Time: 1557835309.2969933
Iteration 54 | Training Accuracy 0.1267 | Time: 1557835310.4542506
Iteration 55 | Training Accuracy 0.1000 | Time: 1557835311.523509
Iteration 56 | Training Accuracy 0.0667 | Time: 1557835312.6947155
Iteration 57 | Training Accuracy 0.1000 | Time: 1557835313.7305536
Iteration 58 | Training Accuracy 0.1133 | Time: 1557835314.6984842
Iteration 59 | Training Accuracy 0.1333 | Time: 1557835315.6058192
Iteration 60 | Training Accuracy 0.1333 | Time: 1557835316.5502734
Iteration 61 | Training Accuracy 0.1400 | Time: 1557835317.4852507
Iteration 62 | Training Accuracy 0.0867 | Time: 1557835318.3461137
Iteration 63 | Training Accuracy 0.1000 | Time: 1557835319.258175
Iteration 64 | Training Accuracy 0.0867 | Time: 1557835320.2502182
Iteration 65 | Training Accuracy 0.1133 | Time: 1557835321.227217
Iteration 66 | Training Accuracy 0.1067 | Time: 1557835322.2298088
Iteration 67 | Training Accuracy 0.1067 | Time: 1557835323.1835642
Iteration 68 | Training Accuracy 0.0867 | Time: 1557835324.012542
Iteration 69 | Training Accuracy 0.1333 | Time: 1557835324.9901438
Iteration 70 | Training Accuracy 0.1067 | Time: 1557835326.0147736
Iteration 71 | Training Accuracy 0.1533 | Time: 1557835326.9615746
Iteration 72 | Training Accuracy 0.1467 | Time: 1557835327.937789
Iteration 73 | Training Accuracy 0.1000 | Time: 1557835328.9449763
Iteration 74 | Training Accuracy 0.1267 | Time: 1557835329.9914126
Iteration 75 | Training Accuracy 0.1533 | Time: 1557835331.1260169
Iteration 76 | Training Accuracy 0.0800 | Time: 1557835332.0139248
Iteration 77 | Training Accuracy 0.1200 | Time: 1557835332.9191551
Iteration 78 | Training Accuracy 0.1000 | Time: 1557835333.7758412
Iteration 79 | Training Accuracy 0.1400 | Time: 1557835334.6744046
Iteration 80 | Training Accuracy 0.1800 | Time: 1557835335.6089475
Iteration 81 | Training Accuracy 0.1133 | Time: 1557835336.633938
Iteration 82 | Training Accuracy 0.1933 | Time: 1557835337.536452
Iteration 83 | Training Accuracy 0.1067 | Time: 1557835338.485423
Iteration 84 | Training Accuracy 0.1333 | Time: 1557835339.5619302
Iteration 85 | Training Accuracy 0.1533 | Time: 1557835340.6112592
Iteration 86 | Training Accuracy 0.1400 | Time: 1557835341.5126271
Iteration 87 | Training Accuracy 0.1467 | Time: 1557835342.4813201
Iteration 88 | Training Accuracy 0.1467 | Time: 1557835343.6098592
Iteration 89 | Training Accuracy 0.1400 | Time: 1557835344.7593694
Iteration 90 | Training Accuracy 0.0800 | Time: 1557835345.363059
Iteration 91 | Training Accuracy 0.1267 | Time: 1557835346.3304708
Iteration 92 | Training Accuracy 0.1000 | Time: 1557835347.193364
Iteration 93 | Training Accuracy 0.0600 | Time: 1557835348.2445018
Iteration 94 | Training Accuracy 0.0933 | Time: 1557835349.350178
Iteration 95 | Training Accuracy 0.1467 | Time: 1557835350.1255195
Iteration 96 | Training Accuracy 0.1067 | Time: 1557835350.9361022
Iteration 97 | Training Accuracy 0.1000 | Time: 1557835352.0272532
Iteration 98 | Training Accuracy 0.1000 | Time: 1557835352.9818993
Iteration 99 | Training Accuracy 0.1000 | Time: 1557835353.913264
Iteration 100 | Training Accuracy 0.0867 | Time: 1557835354.8203259
Iteration 101 | Training Accuracy 0.0867 | Time: 1557835355.8677156
Iteration 102 | Training Accuracy 0.0667 | Time: 1557835356.9521163
Iteration 103 | Training Accuracy 0.1067 | Time: 1557835358.134819
Iteration 104 | Training Accuracy 0.1200 | Time: 1557835359.3707368
Iteration 105 | Training Accuracy 0.1467 | Time: 1557835360.3948607
Iteration 106 | Training Accuracy 0.1800 | Time: 1557835361.4806771
Iteration 107 | Training Accuracy 0.1533 | Time: 1557835362.4571385
Iteration 108 | Training Accuracy 0.0933 | Time: 1557835363.269591
Iteration 109 | Training Accuracy 0.1400 | Time: 1557835364.1772518
Iteration 110 | Training Accuracy 0.1000 | Time: 1557835365.188932
Iteration 111 | Training Accuracy 0.1267 | Time: 1557835366.204439
Iteration 112 | Training Accuracy 0.1267 | Time: 1557835367.107082
Iteration 113 | Training Accuracy 0.1200 | Time: 1557835368.0245013
Iteration 114 | Training Accuracy 0.1133 | Time: 1557835369.047031
Iteration 115 | Training Accuracy 0.1400 | Time: 1557835370.1176496
Iteration 116 | Training Accuracy 0.1000 | Time: 1557835371.2300014
Iteration 117 | Training Accuracy 0.1200 | Time: 1557835372.1977108
Iteration 118 | Training Accuracy 0.1267 | Time: 1557835373.143621
Iteration 119 | Training Accuracy 0.0667 | Time: 1557835374.0551596
Iteration 120 | Training Accuracy 0.0933 | Time: 1557835374.9698787
Iteration 121 | Training Accuracy 0.1467 | Time: 1557835376.0639663
Iteration 122 | Training Accuracy 0.1267 | Time: 1557835377.1961186
Iteration 123 | Training Accuracy 0.1000 | Time: 1557835378.2578893
Iteration 124 | Training Accuracy 0.1533 | Time: 1557835379.2174935
Iteration 125 | Training Accuracy 0.1333 | Time: 1557835380.0616543
Iteration 126 | Training Accuracy 0.1533 | Time: 1557835380.9836583
Iteration 127 | Training Accuracy 0.1133 | Time: 1557835381.9915676
Iteration 128 | Training Accuracy 0.1333 | Time: 1557835382.8285072
Iteration 129 | Training Accuracy 0.1867 | Time: 1557835383.7131426
Iteration 130 | Training Accuracy 0.1133 | Time: 1557835384.7594974
Iteration 131 | Training Accuracy 0.1800 | Time: 1557835385.661855
Iteration 132 | Training Accuracy 0.1400 | Time: 1557835386.6089585
Iteration 133 | Training Accuracy 0.1400 | Time: 1557835387.5890207
Iteration 134 | Training Accuracy 0.1067 | Time: 1557835388.4889643
Iteration 135 | Training Accuracy 0.0667 | Time: 1557835389.5095725
Iteration 136 | Training Accuracy 0.1133 | Time: 1557835390.401822
Iteration 137 | Training Accuracy 0.1467 | Time: 1557835391.3835545
Iteration 138 | Training Accuracy 0.1533 | Time: 1557835392.2410524
Iteration 139 | Training Accuracy 0.1400 | Time: 1557835393.2598152
Iteration 140 | Training Accuracy 0.0533 | Time: 1557835394.0846453
Iteration 141 | Training Accuracy 0.1533 | Time: 1557835395.0877125
Iteration 142 | Training Accuracy 0.1200 | Time: 1557835396.0137632
Iteration 143 | Training Accuracy 0.1933 | Time: 1557835396.99939
Iteration 144 | Training Accuracy 0.1400 | Time: 1557835397.8516526
Iteration 145 | Training Accuracy 0.0933 | Time: 1557835398.846146
Iteration 146 | Training Accuracy 0.1333 | Time: 1557835399.722542
Iteration 147 | Training Accuracy 0.0933 | Time: 1557835400.6111429
Iteration 148 | Training Accuracy 0.1200 | Time: 1557835401.7246141
Iteration 149 | Training Accuracy 0.1867 | Time: 1557835402.810209
Iteration 150 | Training Accuracy 0.1333 | Time: 1557835403.9178016
Iteration 151 | Training Accuracy 0.1400 | Time: 1557835404.889919
Iteration 152 | Training Accuracy 0.1667 | Time: 1557835406.0305457
Iteration 153 | Training Accuracy 0.1467 | Time: 1557835407.1578627
Iteration 154 | Training Accuracy 0.1133 | Time: 1557835408.186597
Iteration 155 | Training Accuracy 0.1200 | Time: 1557835409.0226147
Iteration 156 | Training Accuracy 0.1600 | Time: 1557835409.9770136
Iteration 157 | Training Accuracy 0.0867 | Time: 1557835410.8413842
Iteration 158 | Training Accuracy 0.1667 | Time: 1557835411.8260443
Iteration 159 | Training Accuracy 0.1667 | Time: 1557835412.9433174
Iteration 160 | Training Accuracy 0.1133 | Time: 1557835413.9005423
Iteration 161 | Training Accuracy 0.1067 | Time: 1557835414.851685
Iteration 162 | Training Accuracy 0.0733 | Time: 1557835415.7072995
Iteration 163 | Training Accuracy 0.1067 | Time: 1557835416.5627358
Iteration 164 | Training Accuracy 0.1067 | Time: 1557835417.4290035
Iteration 165 | Training Accuracy 0.1067 | Time: 1557835418.4793565
Iteration 166 | Training Accuracy 0.1333 | Time: 1557835419.456907
Iteration 167 | Training Accuracy 0.1267 | Time: 1557835420.394382
Iteration 168 | Training Accuracy 0.1600 | Time: 1557835421.2396746
Iteration 169 | Training Accuracy 0.1400 | Time: 1557835422.0987942
Iteration 170 | Training Accuracy 0.1733 | Time: 1557835423.0765367
Iteration 171 | Training Accuracy 0.1667 | Time: 1557835423.8884616
Iteration 172 | Training Accuracy 0.1400 | Time: 1557835424.7827194
Iteration 173 | Training Accuracy 0.1200 | Time: 1557835425.5168438
Iteration 174 | Training Accuracy 0.1467 | Time: 1557835426.151823
Iteration 175 | Training Accuracy 0.1267 | Time: 1557835426.719314
Iteration 176 | Training Accuracy 0.1467 | Time: 1557835427.831845
Iteration 177 | Training Accuracy 0.1933 | Time: 1557835428.8226254
Iteration 178 | Training Accuracy 0.1733 | Time: 1557835430.0143938
Iteration 179 | Training Accuracy 0.1133 | Time: 1557835430.9160519
Iteration 180 | Training Accuracy 0.1467 | Time: 1557835431.8298874
Iteration 181 | Training Accuracy 0.1133 | Time: 1557835432.8797774
Iteration 182 | Training Accuracy 0.1600 | Time: 1557835433.9046621
Iteration 183 | Training Accuracy 0.1600 | Time: 1557835434.879851
Iteration 184 | Training Accuracy 0.1600 | Time: 1557835435.9182942
Iteration 185 | Training Accuracy 0.1400 | Time: 1557835436.9031749
Iteration 186 | Training Accuracy 0.1333 | Time: 1557835437.9739578
Iteration 187 | Training Accuracy 0.1533 | Time: 1557835438.8910792
Iteration 188 | Training Accuracy 0.1067 | Time: 1557835440.0341609
Iteration 189 | Training Accuracy 0.1200 | Time: 1557835440.993143
Iteration 190 | Training Accuracy 0.1200 | Time: 1557835441.9639041
Iteration 191 | Training Accuracy 0.1333 | Time: 1557835443.0400035
Iteration 192 | Training Accuracy 0.1200 | Time: 1557835443.8538482
Iteration 193 | Training Accuracy 0.1333 | Time: 1557835444.9322028
Iteration 194 | Training Accuracy 0.1600 | Time: 1557835446.0956514
Iteration 195 | Training Accuracy 0.1400 | Time: 1557835447.0388389
Iteration 196 | Training Accuracy 0.1200 | Time: 1557835448.020462
Iteration 197 | Training Accuracy 0.1333 | Time: 1557835448.9524167
Iteration 198 | Training Accuracy 0.1533 | Time: 1557835449.8751721
Iteration 199 | Training Accuracy 0.1933 | Time: 1557835450.8848147
Iteration 200 | Training Accuracy 0.1733 | Time: 1557835451.7709546
Iteration 201 | Training Accuracy 0.1267 | Time: 1557835452.6898537
Iteration 202 | Training Accuracy 0.1133 | Time: 1557835453.7985253
Iteration 203 | Training Accuracy 0.1333 | Time: 1557835454.7713962
Iteration 204 | Training Accuracy 0.0933 | Time: 1557835455.9000201
Iteration 205 | Training Accuracy 0.1267 | Time: 1557835456.9199862
Iteration 206 | Training Accuracy 0.1933 | Time: 1557835458.0378613
Iteration 207 | Training Accuracy 0.1267 | Time: 1557835459.0315564
Iteration 208 | Training Accuracy 0.1267 | Time: 1557835459.9328344
Iteration 209 | Training Accuracy 0.1200 | Time: 1557835460.7418911
Iteration 210 | Training Accuracy 0.1467 | Time: 1557835461.6553028
Iteration 211 | Training Accuracy 0.1400 | Time: 1557835462.5099404
Iteration 212 | Training Accuracy 0.1667 | Time: 1557835463.5149543
Iteration 213 | Training Accuracy 0.0800 | Time: 1557835464.3895288
Iteration 214 | Training Accuracy 0.1333 | Time: 1557835465.342263
Iteration 215 | Training Accuracy 0.1667 | Time: 1557835466.3493621
Iteration 216 | Training Accuracy 0.1267 | Time: 1557835467.299746
Iteration 217 | Training Accuracy 0.1667 | Time: 1557835468.4227638
Iteration 218 | Training Accuracy 0.1000 | Time: 1557835469.4510899
Iteration 219 | Training Accuracy 0.0800 | Time: 1557835470.7081554
Iteration 220 | Training Accuracy 0.1600 | Time: 1557835471.7185466
Iteration 221 | Training Accuracy 0.1267 | Time: 1557835472.7008626
Iteration 222 | Training Accuracy 0.1067 | Time: 1557835473.644518
Iteration 223 | Training Accuracy 0.1733 | Time: 1557835474.9060206
Iteration 224 | Training Accuracy 0.1267 | Time: 1557835475.950981
Iteration 225 | Training Accuracy 0.1467 | Time: 1557835477.0009818
Iteration 226 | Training Accuracy 0.1333 | Time: 1557835477.9117215
Iteration 227 | Training Accuracy 0.1933 | Time: 1557835478.8102605
Iteration 228 | Training Accuracy 0.1467 | Time: 1557835479.7488587
Iteration 229 | Training Accuracy 0.1867 | Time: 1557835480.731724
Iteration 230 | Training Accuracy 0.0933 | Time: 1557835481.7479265
Iteration 231 | Training Accuracy 0.1133 | Time: 1557835482.7613747
Iteration 232 | Training Accuracy 0.1533 | Time: 1557835483.7099888
Iteration 233 | Training Accuracy 0.1333 | Time: 1557835484.7546916
Iteration 234 | Training Accuracy 0.1667 | Time: 1557835485.796196
Iteration 235 | Training Accuracy 0.1467 | Time: 1557835486.8634915
Iteration 236 | Training Accuracy 0.1467 | Time: 1557835487.86573
Iteration 237 | Training Accuracy 0.1067 | Time: 1557835488.9563508
Iteration 238 | Training Accuracy 0.2133 | Time: 1557835489.8409371
Iteration 239 | Training Accuracy 0.1867 | Time: 1557835490.8072708
Iteration 240 | Training Accuracy 0.1533 | Time: 1557835491.7928345
Iteration 241 | Training Accuracy 0.0733 | Time: 1557835492.7094626
Iteration 242 | Training Accuracy 0.1000 | Time: 1557835493.7594411
Iteration 243 | Training Accuracy 0.1200 | Time: 1557835494.7805862
Iteration 244 | Training Accuracy 0.1333 | Time: 1557835495.8347309
Iteration 245 | Training Accuracy 0.1267 | Time: 1557835496.6280856
Iteration 246 | Training Accuracy 0.1267 | Time: 1557835497.6375046
Iteration 247 | Training Accuracy 0.0800 | Time: 1557835498.6317961
Iteration 248 | Training Accuracy 0.1267 | Time: 1557835499.3990471
Iteration 249 | Training Accuracy 0.1333 | Time: 1557835500.0205624
Iteration 250 | Training Accuracy 0.1600 | Time: 1557835500.6409245
Iteration 251 | Training Accuracy 0.1400 | Time: 1557835501.2792773
Iteration 252 | Training Accuracy 0.1333 | Time: 1557835502.396881
Iteration 253 | Training Accuracy 0.1400 | Time: 1557835503.303775
Iteration 254 | Training Accuracy 0.1133 | Time: 1557835504.374413
Iteration 255 | Training Accuracy 0.0800 | Time: 1557835505.3218048
Iteration 256 | Training Accuracy 0.0667 | Time: 1557835506.2708094
Iteration 257 | Training Accuracy 0.0933 | Time: 1557835507.229457
Iteration 258 | Training Accuracy 0.1067 | Time: 1557835508.3110118
Iteration 259 | Training Accuracy 0.1533 | Time: 1557835509.2613552
Iteration 260 | Training Accuracy 0.1333 | Time: 1557835510.233263
Iteration 261 | Training Accuracy 0.1067 | Time: 1557835511.234224
Iteration 262 | Training Accuracy 0.0933 | Time: 1557835512.1070676
Iteration 263 | Training Accuracy 0.0867 | Time: 1557835513.0346117
Iteration 264 | Training Accuracy 0.0933 | Time: 1557835513.9681911
Iteration 265 | Training Accuracy 0.1267 | Time: 1557835514.9487393
Iteration 266 | Training Accuracy 0.1733 | Time: 1557835516.1570837
Iteration 267 | Training Accuracy 0.1133 | Time: 1557835517.2000058
Iteration 268 | Training Accuracy 0.1000 | Time: 1557835518.0487914
Iteration 269 | Training Accuracy 0.0800 | Time: 1557835518.889656
Iteration 270 | Training Accuracy 0.1200 | Time: 1557835519.7545788
Iteration 271 | Training Accuracy 0.1267 | Time: 1557835520.6919918
Iteration 272 | Training Accuracy 0.1400 | Time: 1557835521.6363037
Iteration 273 | Training Accuracy 0.1400 | Time: 1557835522.5779262
Iteration 274 | Training Accuracy 0.1600 | Time: 1557835523.5642567
Iteration 275 | Training Accuracy 0.1400 | Time: 1557835524.4986854
Iteration 276 | Training Accuracy 0.1533 | Time: 1557835525.6137526
Iteration 277 | Training Accuracy 0.1333 | Time: 1557835526.6149197
Iteration 278 | Training Accuracy 0.1600 | Time: 1557835527.546959
Iteration 279 | Training Accuracy 0.2133 | Time: 1557835528.6074543
Iteration 280 | Training Accuracy 0.0733 | Time: 1557835529.7073429
Iteration 281 | Training Accuracy 0.1533 | Time: 1557835530.6864786
Iteration 282 | Training Accuracy 0.1467 | Time: 1557835531.8718195
Iteration 283 | Training Accuracy 0.1400 | Time: 1557835532.813122
Iteration 284 | Training Accuracy 0.1067 | Time: 1557835533.84281
Iteration 285 | Training Accuracy 0.1267 | Time: 1557835534.761333
Iteration 286 | Training Accuracy 0.1133 | Time: 1557835535.709355
Iteration 287 | Training Accuracy 0.1267 | Time: 1557835536.628276
Iteration 288 | Training Accuracy 0.1467 | Time: 1557835537.4450934
Iteration 289 | Training Accuracy 0.1133 | Time: 1557835538.4170935
Iteration 290 | Training Accuracy 0.1667 | Time: 1557835539.3752313
Iteration 291 | Training Accuracy 0.1000 | Time: 1557835540.3321538
Iteration 292 | Training Accuracy 0.1000 | Time: 1557835541.1637962
Iteration 293 | Training Accuracy 0.1533 | Time: 1557835542.0586557
Iteration 294 | Training Accuracy 0.1000 | Time: 1557835543.1734257
Iteration 295 | Training Accuracy 0.1600 | Time: 1557835544.184196
Iteration 296 | Training Accuracy 0.1267 | Time: 1557835545.2683234
Iteration 297 | Training Accuracy 0.1067 | Time: 1557835546.3600116
Iteration 298 | Training Accuracy 0.1200 | Time: 1557835547.4185882
Iteration 299 | Training Accuracy 0.1533 | Time: 1557835548.3395681
Iteration 300 | Training Accuracy 0.1333 | Time: 1557835549.4280477
Iteration 301 | Training Accuracy 0.1067 | Time: 1557835550.6091788
Iteration 302 | Training Accuracy 0.1200 | Time: 1557835551.6139095
Iteration 303 | Training Accuracy 0.1400 | Time: 1557835552.6478093
Iteration 304 | Training Accuracy 0.1133 | Time: 1557835553.492482
Iteration 305 | Training Accuracy 0.1333 | Time: 1557835554.503881
Iteration 306 | Training Accuracy 0.1200 | Time: 1557835555.3655536
Iteration 307 | Training Accuracy 0.1267 | Time: 1557835556.2526946
Iteration 308 | Training Accuracy 0.1333 | Time: 1557835557.1486685
Iteration 309 | Training Accuracy 0.1533 | Time: 1557835557.9429016
Iteration 310 | Training Accuracy 0.1733 | Time: 1557835558.9207232
Iteration 311 | Training Accuracy 0.1067 | Time: 1557835559.727735
Iteration 312 | Training Accuracy 0.0867 | Time: 1557835560.6810832
Iteration 313 | Training Accuracy 0.1133 | Time: 1557835561.7048953
Iteration 314 | Training Accuracy 0.1933 | Time: 1557835562.6857426
Iteration 315 | Training Accuracy 0.1400 | Time: 1557835563.6325512
Iteration 316 | Training Accuracy 0.1000 | Time: 1557835564.5671515
Iteration 317 | Training Accuracy 0.1333 | Time: 1557835565.6176364
Iteration 318 | Training Accuracy 0.0733 | Time: 1557835566.510251
Iteration 319 | Training Accuracy 0.1067 | Time: 1557835567.4303358
Iteration 320 | Training Accuracy 0.1200 | Time: 1557835568.3379908
Iteration 321 | Training Accuracy 0.1200 | Time: 1557835569.5063393
Iteration 322 | Training Accuracy 0.1333 | Time: 1557835570.5180798
Iteration 323 | Training Accuracy 0.1200 | Time: 1557835570.995007
Iteration 324 | Training Accuracy 0.1000 | Time: 1557835571.9125082
Iteration 325 | Training Accuracy 0.1600 | Time: 1557835572.7461197
Iteration 326 | Training Accuracy 0.1400 | Time: 1557835573.5431728
Iteration 327 | Training Accuracy 0.1133 | Time: 1557835574.2890787
Iteration 328 | Training Accuracy 0.1067 | Time: 1557835575.1885722
Iteration 329 | Training Accuracy 0.1133 | Time: 1557835575.7475586
Iteration 330 | Training Accuracy 0.1333 | Time: 1557835576.6667287
Iteration 331 | Training Accuracy 0.1200 | Time: 1557835577.5390618
Iteration 332 | Training Accuracy 0.1200 | Time: 1557835578.5681806
Iteration 333 | Training Accuracy 0.1400 | Time: 1557835579.4863875
Iteration 334 | Training Accuracy 0.1000 | Time: 1557835580.3757837
Iteration 335 | Training Accuracy 0.1467 | Time: 1557835581.3084462
Iteration 336 | Training Accuracy 0.1133 | Time: 1557835582.276026
Iteration 337 | Training Accuracy 0.1533 | Time: 1557835583.3321607
Iteration 338 | Training Accuracy 0.0933 | Time: 1557835584.2750847
Iteration 339 | Training Accuracy 0.1533 | Time: 1557835585.245584
Iteration 340 | Training Accuracy 0.1400 | Time: 1557835586.094166
Iteration 341 | Training Accuracy 0.1267 | Time: 1557835586.979174
Iteration 342 | Training Accuracy 0.1200 | Time: 1557835587.8573785
Iteration 343 | Training Accuracy 0.1333 | Time: 1557835588.855385
Iteration 344 | Training Accuracy 0.1333 | Time: 1557835589.8210135
Iteration 345 | Training Accuracy 0.1267 | Time: 1557835590.7062647
Iteration 346 | Training Accuracy 0.1267 | Time: 1557835591.6875331
Iteration 347 | Training Accuracy 0.1067 | Time: 1557835592.6508489
Iteration 348 | Training Accuracy 0.1133 | Time: 1557835593.658766
Iteration 349 | Training Accuracy 0.1200 | Time: 1557835594.6061246
Iteration 350 | Training Accuracy 0.1333 | Time: 1557835595.6054525
Iteration 351 | Training Accuracy 0.1200 | Time: 1557835596.5650988
Iteration 352 | Training Accuracy 0.1733 | Time: 1557835597.4147537
Iteration 353 | Training Accuracy 0.1600 | Time: 1557835598.3208494
Iteration 354 | Training Accuracy 0.1533 | Time: 1557835599.2911723
Iteration 355 | Training Accuracy 0.1733 | Time: 1557835600.3375225
Iteration 356 | Training Accuracy 0.1133 | Time: 1557835601.2222142
Iteration 357 | Training Accuracy 0.1200 | Time: 1557835602.166778
Iteration 358 | Training Accuracy 0.1000 | Time: 1557835603.0461507
Iteration 359 | Training Accuracy 0.1267 | Time: 1557835603.7730706
Iteration 360 | Training Accuracy 0.1267 | Time: 1557835604.7101228
Iteration 361 | Training Accuracy 0.1067 | Time: 1557835605.6860456
Iteration 362 | Training Accuracy 0.1000 | Time: 1557835606.7232337
Iteration 363 | Training Accuracy 0.1800 | Time: 1557835607.7592928
Iteration 364 | Training Accuracy 0.1333 | Time: 1557835608.7395253
Iteration 365 | Training Accuracy 0.1067 | Time: 1557835609.671256
Iteration 366 | Training Accuracy 0.1000 | Time: 1557835610.5146096
Iteration 367 | Training Accuracy 0.1267 | Time: 1557835611.462734
Iteration 368 | Training Accuracy 0.1867 | Time: 1557835612.4063933
Iteration 369 | Training Accuracy 0.0933 | Time: 1557835613.3052347
Iteration 370 | Training Accuracy 0.2267 | Time: 1557835614.213901
Iteration 371 | Training Accuracy 0.0533 | Time: 1557835615.199435
Iteration 372 | Training Accuracy 0.1133 | Time: 1557835616.0881739
Iteration 373 | Training Accuracy 0.0933 | Time: 1557835616.9980435
Iteration 374 | Training Accuracy 0.1467 | Time: 1557835617.9204016
Iteration 375 | Training Accuracy 0.1067 | Time: 1557835618.9601266
Iteration 376 | Training Accuracy 0.0867 | Time: 1557835620.0065427
Iteration 377 | Training Accuracy 0.1267 | Time: 1557835621.0001507
Iteration 378 | Training Accuracy 0.1333 | Time: 1557835621.9381638
Iteration 379 | Training Accuracy 0.1600 | Time: 1557835622.9697118
Iteration 380 | Training Accuracy 0.1333 | Time: 1557835623.9111679
Iteration 381 | Training Accuracy 0.1067 | Time: 1557835624.881778
Iteration 382 | Training Accuracy 0.1467 | Time: 1557835625.769216
Iteration 383 | Training Accuracy 0.1400 | Time: 1557835626.719633
Iteration 384 | Training Accuracy 0.1400 | Time: 1557835627.6819909
Iteration 385 | Training Accuracy 0.1200 | Time: 1557835628.5464666
Iteration 386 | Training Accuracy 0.0600 | Time: 1557835629.4494905
Iteration 387 | Training Accuracy 0.1533 | Time: 1557835630.2326937
Iteration 388 | Training Accuracy 0.1400 | Time: 1557835631.0564644
Iteration 389 | Training Accuracy 0.1267 | Time: 1557835632.0546207
Iteration 390 | Training Accuracy 0.0933 | Time: 1557835632.9626272
Iteration 391 | Training Accuracy 0.0933 | Time: 1557835633.8750167
Iteration 392 | Training Accuracy 0.2067 | Time: 1557835634.7335906
Iteration 393 | Training Accuracy 0.1067 | Time: 1557835635.60381
Iteration 394 | Training Accuracy 0.1067 | Time: 1557835636.4098449
Iteration 395 | Training Accuracy 0.1200 | Time: 1557835637.4359362
Iteration 396 | Training Accuracy 0.1533 | Time: 1557835638.398825
Iteration 397 | Training Accuracy 0.1067 | Time: 1557835639.4259796
